Sample ID,electronegativity_electrode,ionization_energy_electrode,band_gap_electrode,conductivity_electrode,stability_window_electrolyte,dielectric_constant_electrolyte,viscosity_electrolyte,solubility_electrolyte,redox_potential_mediator,molecular_weight_mediator,solubility_mediator,compatibility_label
M1,2.123620357,7.375136871,0.766824137,3.795822523,5.73124806,14.32284776,6.153763249,0.887051883,1.582686346,274.4506616,0.872337079,0
M2,3.852142919,8.54152158,3.666639544,8.75830712,4.860658938,32.95450286,7.07861357,0.698432726,1.530430806,236.4857739,0.823046816,0
M3,3.195981825,6.133461046,0.002051447,2.212131088,5.712981386,74.89887634,2.171773199,0.605819064,1.625860414,464.689072,0.452490847,1
M4,2.795975453,9.606715526,2.980913347,3.321365193,5.187899116,70.76547826,2.017226166,0.739286672,1.306621864,488.351713,0.499597641,1
M5,1.468055921,11.98424572,4.57971502,1.592296231,4.437189757,34.57032761,9.589877328,0.775873719,1.528977064,78.00634751,0.301837086,0
M6,1.467983561,8.162176332,1.43967047,6.243536035,2.463411108,57.42149484,5.978710203,0.267335152,-0.471924378,465.2816311,0.324363834,0
M7,1.174250837,7.483099897,0.927629876,4.25670895,3.16592269,11.58927602,4.023141477,0.198700335,-0.088440553,87.24584008,0.982115702,0
M8,3.598528437,7.804929168,3.258398974,6.171505134,5.875369628,58.44057917,8.054128608,0.167363965,-0.272541488,201.778796,0.894410244,0
M9,2.803345035,5.806023249,3.563007036,7.640581563,3.277688395,77.96432971,5.346557796,0.436648145,1.227284911,393.1583551,0.232275524,1
M10,3.124217733,11.18291521,3.440152595,5.502459859,2.373019479,45.31161146,2.568295542,0.548200216,-0.539070642,399.6666419,0.311748444,0
M11,1.061753483,7.903779589,1.5965844,6.313540514,4.830213424,42.38676703,2.226005995,0.654084908,-0.453316629,376.6198508,0.153215593,0
M12,3.909729556,7.71092088,1.261012011,9.358978113,4.936017018,19.04889648,4.089220808,0.962231068,1.636894162,67.60061963,0.989427244,0
M13,3.497327922,9.617831911,4.779594,3.060736665,3.141830881,52.53411492,8.626979431,0.397709038,1.117646579,109.8347216,0.911849358,0
M14,1.637017332,8.094233947,4.616497541,3.655722992,3.190687917,49.28279606,0.802189577,0.784786647,1.626139934,471.2974242,0.574493088,0
M15,1.545474902,9.537634282,2.286583049,7.205263281,3.875571942,53.89497946,2.341554807,0.578221858,-0.581934225,86.65762478,0.708248449,0
M16,1.55021353,5.430124031,4.230969331,6.151924619,2.087155799,6.956246501,8.952887825,0.298080939,0.196941214,85.34566264,0.760549593,0
